x,,id.exposure,id.outcome,nsnp,b_MR.Egger,se_MR.Egger,pval_MR.Egger,estimate_MR.Egger,b_Weighted.median,se_Weighted.median,pval_Weighted.median,estimate_Weighted.median,b_Inverse.variance.weighted.,se_Inverse.variance.weighted.,pval_Inverse.variance.weighted.,fdr_Inverse.variance.weighted.,estimate_Inverse.variance.weighted.,b_Weighted.mode,se_Weighted.mode,pval_Weighted.mode,estimate_Weighted.mode,b_Simple.mode,se_Simple.mode,pval_Simple.mode,estimate_Simple.mode,correct_causal_direction,steiger_pval,Value_Power,F,R2,Q_Inverse.variance.weighted,Q_df_Inverse.variance.weighted,Q_pval_Inverse.variance.weighted,egger_intercept,se,pval,outliers,global_test_p
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_MBTPS1.csv.csv.csv,MBTPS1,f2noEF,vsOWBs,9,0.039410056,0.022433004,0.122374575,1.04 (1.00-1.09),0.047649208,0.011644594,4.28E-05,1.05 (1.03-1.07),0.049453778,0.009780857,4.28E-07,0.000767787,1.05 (1.03-1.07),0.045048049,0.01238537,0.006615727,1.05 (1.02-1.07),0.049384796,0.018473703,0.028219782,1.05 (1.01-1.09),TRUE,0,0.99993174,477.5851486,0.137223155,2.739717378,8,0.94961534,0.002903652,0.005836513,0.634082629,NA,0.955
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_ACTG1.csv.csv.csv,ACTG1,uFzpSG,5qD6lE,4,-0.054045459,0.098531975,0.638392898,0.95 (0.78-1.15),0.194089803,0.044433613,1.25E-05,1.21 (1.11-1.32),0.163279293,0.033606926,1.18E-06,0.000790454,1.18 (1.10-1.26),0.204115683,0.050726354,0.027575561,1.23 (1.11-1.35),0.19406705,0.072496722,0.075246546,1.21 (1.05-1.40),TRUE,5.55E-63,0.999999123,79.09770863,0.016767509,5.781013118,3,0.122764318,0.025746213,0.010973007,0.143542684,NA,0.231
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_HLA-DQB1.csv.csv.csv,DQB1,Rokoz6,moR7y2,8,0.000448055,0.021913935,0.984350458,1.00 (0.96-1.04),-0.02166942,0.006099371,0.000381255,0.98 (0.97-0.99),-0.024164961,0.004996318,1.32E-06,0.000790454,0.98 (0.97-0.99),-0.021229964,0.006084475,0.010139561,0.98 (0.97-0.99),-0.030280614,0.008087423,0.007223234,0.97 (0.95-0.99),TRUE,0,0.999495193,1133.551763,0.481057412,4.234985796,7,0.752348756,-0.012028308,0.010427212,0.29255744,NA,0.772
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_DPP8.csv.csv.csv,DPP8,f2noEF,vsOWBs,4,0.178075408,0.070438974,0.127271613,1.19 (1.04-1.37),0.132688246,0.029940681,9.35E-06,1.14 (1.08-1.21),0.122758575,0.028097472,1.25E-05,0.00467277,1.13 (1.07-1.19),0.132951005,0.03219749,0.02576346,1.14 (1.07-1.22),0.121343258,0.05035121,0.095022383,1.13 (1.02-1.25),TRUE,1.80E-65,0.992350935,96.77365968,0.012662392,1.765905929,3,0.62238214,-0.008490671,0.009914396,0.482008395,NA,0.655
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_OAT.csv.csv.csv,OAT,f2noEF,vsOWBs,7,-0.037465106,0.013211632,0.036427071,0.96 (0.94-0.99),-0.035903043,0.010173818,0.000417189,0.96 (0.95-0.98),-0.037802659,0.008670663,1.30E-05,0.00467277,0.96 (0.95-0.98),-0.035610542,0.01028398,0.013422601,0.97 (0.95-0.98),-0.032412848,0.016266288,0.093373865,0.97 (0.94-1.00),TRUE,0,0.997090732,276.9818968,0.159250166,1.609183112,6,0.951914934,-0.000150926,0.004456986,0.974296848,NA,0.962
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_LRRC4.csv.csv.csv,LRRC4,eE7dno,Tu2Xk7,3,-0.08833688,0.055752747,0.358417482,0.92 (0.82-1.02),-0.117226431,0.032308518,0.000285245,0.89 (0.83-0.95),-0.124031264,0.029013978,1.91E-05,0.00572128,0.88 (0.83-0.94),-0.116594631,0.035077636,0.07982413,0.89 (0.83-0.95),-0.117570897,0.039024636,0.094771439,0.89 (0.82-0.96),TRUE,1.36E-81,0.995249676,148.3067287,0.013979462,0.719619461,2,0.697809085,-0.004738457,0.006320049,0.590436335,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_ANKK1.csv.csv.csv,ANKK1,cQ1I5P,KJr8sr,3,-0.036834898,0.072578353,0.701014861,0.96 (0.84-1.11),-0.089664536,0.022698387,7.81E-05,0.91 (0.87-0.96),-0.089517179,0.02223148,5.66E-05,0.013682659,0.91 (0.88-0.96),-0.081886059,0.024555167,0.079364505,0.92 (0.88-0.97),-0.127697128,0.040253605,0.086648043,0.88 (0.81-0.95),TRUE,1.48E-152,0.993237977,270.5002469,0.025255696,0.581857325,2,0.747569006,-0.009233057,0.012108598,0.585263665,NA,NA
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_CLCN1.csv.csv.csv,CLCN1,fIlvO5,dVjiWf,5,-0.065027229,0.049469376,0.280142725,0.94 (0.85-1.03),-0.04641898,0.014454773,0.001321243,0.95 (0.93-0.98),-0.053176403,0.013311253,6.47E-05,0.013682659,0.95 (0.92-0.97),-0.04792427,0.016867682,0.046811252,0.95 (0.92-0.99),-0.06044133,0.026239712,0.082626794,0.94 (0.89-0.99),TRUE,0,0.989683907,430.8449746,0.066244133,7.485839856,4,0.112335319,0.002784094,0.010545953,0.80887894,NA,0.336
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_ZDHHC7.csv.csv.csv,ZDHHC7,5AstwV,cmuU21,6,0.022806465,0.035295598,0.553381134,1.02 (0.95-1.10),-0.04853878,0.013837543,0.000451897,0.95 (0.93-0.98),-0.045265089,0.011370063,6.86E-05,0.013682659,0.96 (0.93-0.98),-0.023033459,0.014754653,0.179253588,0.98 (0.95-1.01),-0.089136751,0.032043492,0.038821976,0.91 (0.86-0.97),TRUE,0,0.996585054,595.3150647,0.108737363,7.773193392,5,0.169186324,-0.023568679,0.011569088,0.111295908,NA,0.316
E:/medelian randomization/Ò©°ÐeQTL/3.clumpºó/mendelian test/output_PPOX.csv.csv.csv,PPOX,UhG8a8,Q2ASP2,4,0.060350465,0.054122602,0.380839801,1.06 (0.96-1.18),0.070555138,0.022708162,0.001889717,1.07 (1.03-1.12),0.077817052,0.020239716,0.000120666,0.021659463,1.08 (1.04-1.12),0.07030659,0.024427832,0.06362586,1.07 (1.02-1.13),0.072623596,0.028651908,0.085074186,1.08 (1.02-1.14),TRUE,1.25E-173,0.993913134,248.0100255,0.032988844,0.943857681,3,0.814833083,0.00376398,0.010816977,0.761074459,NA,0.867
