diseaseStatus,anntation,count,ratio,label,ypos,cumulative,midpoint,angle,x_label,y_label,x_line,y_line
HC,T cells,3996,0.518893650175302,51.9%,0.740553174912349,0.518893650175302,0.259446825087651,-3.40085703155434,-0.243217351578504,4.0927796568947,-0.189828176841759,3.19436461025928
HC,B cells,296,0.038436566679652,3.8%,0.461888066484872,0.557330216854954,0.538111933515128,-103.720296065446,-3.98300716878074,-0.97244737309594,-3.10868852197522,-0.758983315587075
HC,Endothelials,56,0.00727178288533957,0.7%,0.439033891702376,0.564601999740293,0.560966108297624,-111.947798987145,-3.80285154106427,-1.53242296923046,-2.96807925156236,-1.19603743939938
HC,Neutrophils,566,0.0734969484482535,7.3%,0.39864952603558,0.638098948188547,0.60135047396442,-126.486170627191,-3.29640167460148,-2.43797785053199,-2.57280130700603,-1.90281198090301
HC,NKs,772,0.100246721205038,10%,0.311777691208934,0.738345669393585,0.688222308791066,-157.760031164784,-1.55179494040742,-3.79498780800755,-1.21115702665945,-2.96194170381077
HC,mono/mac,166,0.0215556421243994,2.2%,0.250876509544215,0.759901311517985,0.749123490455785,-179.684456564083,-0.0225797006072846,-4.09993782356763,-0.0176231809617831,-3.19995147205279
HC,Fibroblasts,484,0.0628489806518634,6.3%,0.208674198156084,0.822750292169848,0.791325801843916,-194.87728866381,1.05267382524729,-3.96255950335629,0.821599083119839,-3.0927293684732
HC,Mast cells,108,0.0140241527074406,1.4%,0.170237631476432,0.836774444877289,0.829762368523568,-208.714452668485,1.96982343131426,-3.59580250423258,1.53742316590381,-2.80648000330348
HC,cDC1s,29,0.00376574470847942,0.4%,0.161342682768472,0.840540189585768,0.838657317231528,-211.91663420335,2.16760762785538,-3.48015476260226,1.69179131930176,-2.71621835129932
HC,cDC2s,58,0.00753148941695884,0.8%,0.155694065705753,0.848071679002727,0.844305934294247,-213.950136345929,2.28973189081636,-3.40104805437655,1.78710781722253,-2.65447653024511
HC,Plasma cells,849,0.11024542267238,11%,0.096805609661083,0.958317101675107,0.903194390338917,-235.14998052201,3.36466770896782,-2.34286389024827,2.62608211431634,-1.82857669482792
HC,pDCs,156,0.0202571094663031,2%,0.0315543435917413,0.97857421114141,0.968445656408259,-258.640436306973,4.01968274864478,-0.80755841909271,3.13731336479593,-0.630289497828457
HC,Proliferative cells,108,0.0140241527074406,1.4%,0.0144137125048695,0.992598363848851,0.985586287495131,-264.811063498247,4.08319771086999,-0.370805142825842,3.18688601823999,-0.289408891961633
HC,Epithelials,37,0.0048045708349565,0.5%,0.00499935073367095,0.997402934683807,0.995000649266329,-268.200233735878,4.09797742283512,-0.128767394683719,3.19842140318839,-0.100501381216561
HC,SMCs,20,0.0025970653161927,0.3%,0.00129853265809635,1,0.998701467341904,-269.532528243085,4.099863536363,-0.0334512062719511,3.19989349179552,-0.026108258553718
PD,T cells,2887,0.256280514869063,25.6%,0.871859742565468,0.256280514869063,0.128140257434532,43.8695073235686,2.84137484354412,2.95577214928259,2.21765841447346,2.30694411651324
PD,B cells,440,0.0390590324012428,3.9%,0.724189968930315,0.295339547270306,0.275810031069685,-9.29161118508655,-0.661983258813059,4.04620540322056,-0.516669860537022,3.15801397324531
PD,Endothelials,1701,0.150998668442077,15.1%,0.629161118508655,0.446338215712384,0.370838881491345,-43.5019973368842,-2.82235743379886,2.9739365352812,-2.20281555808691,2.32112119826825
PD,Neutrophils,1362,0.120905459387483,12.1%,0.493209054593875,0.567243675099867,0.506790945406125,-92.444740346205,-4.09626828743896,-0.174888871349346,-3.1970874438548,-0.13649863129705
PD,NKs,409,0.0363071460275189,3.6%,0.414602751886374,0.603550821127386,0.585397248113626,-120.743009320905,-3.52382203146281,-2.09587172569728,-2.75030012211732,-1.63580232249544
PD,mono/mac,642,0.0569906790945406,5.7%,0.367953839325344,0.660541500221926,0.632046160674656,-137.536617842876,-2.76798738467527,-3.02460672456413,-2.16038039779533,-2.36066866307445
PD,Fibroblasts,522,0.0463382157123835,4.6%,0.316289391921882,0.70687971593431,0.683710608078118,-156.135818908122,-1.65873681378766,-3.74947892147503,-1.29462385466354,-2.92642257285856
PD,Mast cells,354,0.0314247669773635,3.1%,0.277407900577008,0.738304482911673,0.722592099422992,-170.133155792277,-0.702571943806954,-4.03935547628273,-0.548348834190793,-3.15266768880604
PD,cDC1s,105,0.00932090545938748,0.9%,0.257035064358633,0.747625388371061,0.742964935641367,-177.467376830892,-0.181171702213757,-4.09599521658863,-0.141402304166834,-3.19687431538625
PD,cDC2s,189,0.0167776298268975,1.7%,0.24398579671549,0.764403018197958,0.75601420328451,-182.165113182423,0.154895380015895,-4.09707303098806,0.120893955134357,-3.19771553638093
PD,Plasma cells,1730,0.153573013759432,15.4%,0.158810474922326,0.91797603195739,0.841189525077674,-212.828229027963,2.2227013596564,-3.44522839094618,1.73479130509768,-2.68895874415311
PD,pDCs,131,0.0116289391921882,1.2%,0.0762094984465158,0.929604971149578,0.923790501553484,-242.564580559254,3.63887597870617,-1.88906898010507,2.84009832484384,-1.47439530154542
PD,Proliferative cells,242,0.0214824678206835,2.1%,0.0596537949400799,0.951087438970262,0.94034620505992,-248.524633821571,3.81535772958006,-1.50101478851264,2.97784017918444,-1.17152373737572
PD,Epithelials,313,0.0277851753217932,2.8%,0.0350199733688415,0.978872614292055,0.964980026631158,-257.392809587217,4.0011464500755,-0.89488942615736,3.12284600981502,-0.698450283830135
PD,SMCs,238,0.021127385707945,2.1%,0.0105636928539725,1,0.989436307146027,-266.19707057257,4.09097212195539,-0.271932155847402,3.19295385128226,-0.212239731393094
