GENE	CHR	START	END	GENEID
SCYL3	1	169818772	169863408	ENSG00000000457
C1orf112	1	169631245	169823221	ENSG00000000460
FGR	1	27938575	27961788	ENSG00000000938
CFH	1	196621008	196716634	ENSG00000000971
STPG1	1	24683489	24743424	ENSG00000001460
NIPAL3	1	24742284	24799466	ENSG00000001461
SEMA3F	3	50192478	50226508	ENSG00000001617
CYP26B1	2	72356367	72375167	ENSG00000003137
ALS2	2	202565277	202645912	ENSG00000003393
CASP10	2	202047604	202094129	ENSG00000003400
CFLAR	2	201980827	202041410	ENSG00000003402
TFPI	2	188328957	188430487	ENSG00000003436
NDUFAF7	2	37458774	37480546	ENSG00000003509
RBM5	3	50126341	50156454	ENSG00000003756
AK2	1	33473585	33546597	ENSG00000004455
KDM1A	1	23345941	23410182	ENSG00000004487
RBM6	3	49977440	50137478	ENSG00000004534
ZMYND10	3	50378541	50384283	ENSG00000004838
GCFC2	2	75879126	75938115	ENSG00000005436
WDR54	2	74648805	74652882	ENSG00000005448
TTC22	1	55245385	55266940	ENSG00000006555
FARP2	2	242295658	242434256	ENSG00000006607
ST7L	1	113066140	113163447	ENSG00000007341
CACNA2D2	3	50400233	50541675	ENSG00000007402
DNAJC11	1	6694228	6761984	ENSG00000007923
FMO3	1	171060018	171086959	ENSG00000007933
E2F2	1	23832922	23857712	ENSG00000007968
CDK11A	1	1634169	1655766	ENSG00000008128
NADK	1	1682671	1711896	ENSG00000008130
DLEC1	3	38080696	38165516	ENSG00000008226
CELSR3	3	48673902	48700348	ENSG00000008300
SS18L2	3	42623332	42636606	ENSG00000008324
HEATR5B	2	37195526	37311485	ENSG00000008869
CSDE1	1	115259534	115301297	ENSG00000009307
MASP2	1	11086580	11107290	ENSG00000009724
FAM76A	1	28052490	28089633	ENSG00000009780
TRAF3IP3	1	209929377	209955668	ENSG00000009790
SPRTN	1	231472850	231490769	ENSG00000010072
METTL13	1	171750788	171783163	ENSG00000010165
UQCRC1	3	48636435	48648409	ENSG00000010256
HHATL	3	42734155	42744319	ENSG00000010282
PHF7	3	52444673	52457657	ENSG00000010318
SEMA3G	3	52467069	52479101	ENSG00000010319
NISCH	3	52489134	52527087	ENSG00000010322
STAB1	3	52529354	52558511	ENSG00000010327
SCMH1	1	41492872	41707826	ENSG00000010803
TCEB3	1	24069645	24088549	ENSG00000011007
LYPLA2	1	24117460	24122029	ENSG00000011009
CLCN6	1	11866207	11903201	ENSG00000011021
ABHD5	3	43731605	43775863	ENSG00000011198
LARS2	3	45429998	45590913	ENSG00000011376
CEP68	2	65283500	65314138	ENSG00000011523
MAP4K3	2	39476407	39664453	ENSG00000011566
SEMA3B	3	50304990	50314977	ENSG00000012171
LTF	3	46477136	46526724	ENSG00000012223
EHD3	2	31456880	31492313	ENSG00000013016
CLK1	2	201717732	201729422	ENSG00000013441
MDH1	2	63815743	63834331	ENSG00000014641
MTMR11	1	149900543	149908791	ENSG00000014914
CHDH	3	53846362	53880417	ENSG00000016391
CLCA4	1	87012761	87046437	ENSG00000016602
GLT8D1	3	52728505	52740048	ENSG00000016864
SLC11A1	2	219246752	219261617	ENSG00000018280
AGPS	2	178257372	178408564	ENSG00000018510
ATP1A2	1	160085549	160113381	ENSG00000018625
TTC27	2	32853099	33046118	ENSG00000018699
MARCO	2	119699742	119752236	ENSG00000019169
NCDN	1	36023074	36032875	ENSG00000020129
RUNX3	1	25226002	25291612	ENSG00000020633
SPAST	2	32288680	32382706	ENSG00000021574
CPS1	2	211342406	211543831	ENSG00000021826
C8B	1	57394883	57431813	ENSG00000021852
NDUFS1	2	206979541	207024327	ENSG00000023228
ALAS1	3	52232102	52248343	ENSG00000023330
GLRX2	1	193065598	193075244	ENSG00000023572
PLEKHO1	1	150121373	150136916	ENSG00000023902
GCLM	1	94350761	94374966	ENSG00000023909
DEPDC1	1	68939835	68962904	ENSG00000024526
KPNA6	1	32573639	32642169	ENSG00000025800
SLAMF7	1	160709037	160724611	ENSG00000026751
INSRR	1	156809855	156828810	ENSG00000027644
SH2D2A	1	156776035	156786654	ENSG00000027869
VRK2	2	58134786	58387055	ENSG00000028116
TNFRSF1B	1	12227060	12269285	ENSG00000028137
IKZF2	2	213864429	214017151	ENSG00000030419
SARS	1	109756540	109780791	ENSG00000031698
TSSC1	2	3192696	3381653	ENSG00000032389
LRRC7	1	70034081	70617628	ENSG00000033122
SLC4A7	3	27414214	27525911	ENSG00000033867
TMSB10	2	85132749	85133795	ENSG00000034510
MYOC	1	171604557	171621823	ENSG00000034971
SH3YL1	2	217730	266398	ENSG00000035115
FAM136A	2	70523107	70529222	ENSG00000035141
ADSS	1	244571796	244615436	ENSG00000035687
TBC1D23	3	99979844	100044095	ENSG00000036054
CUL3	2	225334867	225450110	ENSG00000036257
ZZZ3	1	78028101	78149104	ENSG00000036549
FBXO42	1	16573334	16678949	ENSG00000037637
PQLC2	1	19638820	19655794	ENSG00000040487
INPP4A	2	99061317	99210853	ENSG00000040933
PARP3	3	51976361	51982883	ENSG00000041880
THAP3	1	6684926	6695646	ENSG00000041988
RETSAT	2	85569211	85581743	ENSG00000042445
CAPG	2	85621871	85645555	ENSG00000042493
TRIT1	1	40306723	40349183	ENSG00000043514
TPR	1	186280784	186344825	ENSG00000047410
MAP4	3	47892182	48130769	ENSG00000047849
VPS13D	1	12290124	12572099	ENSG00000048707
R3HDM1	2	136289025	136482840	ENSG00000048991
COL9A2	1	40766159	40783488	ENSG00000049089
H6PD	1	9294834	9331396	ENSG00000049239
VAMP3	1	7831329	7841492	ENSG00000049245
PER3	1	7844380	7905237	ENSG00000049246
UTS2	1	7903143	7913572	ENSG00000049247
TNFRSF9	1	7979907	8000926	ENSG00000049249
LTBP1	2	33172039	33624576	ENSG00000049323
PTGER3	1	71318036	71513491	ENSG00000050628
SIKE1	1	115312100	115323306	ENSG00000052723
AKR7A2	1	19630459	19638640	ENSG00000053371
MRTO4	1	19578033	19586622	ENSG00000053372
TRAPPC3	1	36602173	36615098	ENSG00000054116
THRAP3	1	36690017	36770958	ENSG00000054118
LY75	2	160628362	160761260	ENSG00000054219
ARID4B	1	235294949	235491534	ENSG00000054267
OPN3	1	241753404	241840678	ENSG00000054277
SDCCAG8	1	243419320	243663394	ENSG00000054282
PTPRN	2	220154345	220174370	ENSG00000054356
HHAT	1	210501596	210849638	ENSG00000054392
KIF1B	1	10270863	10441661	ENSG00000054523
NOP58	2	203130439	203168389	ENSG00000055044
SZRD1	1	16679070	16724640	ENSG00000055070
EIF2AK2	2	37326353	37384208	ENSG00000055332
MCOLN3	1	85483765	85514182	ENSG00000055732
CCDC85A	2	56411258	56613308	ENSG00000055813
PUM2	2	20448452	20551995	ENSG00000055917
ITIH4	3	52846991	52865495	ENSG00000055955
ITIH1	3	52811603	52826078	ENSG00000055957
IL17RB	3	53880607	53899827	ENSG00000056736
DCBLD2	3	98514785	98620533	ENSG00000057019
SOAT1	1	179262925	179327815	ENSG00000057252
MSH4	1	76262567	76378923	ENSG00000057468
PITHD1	1	24104895	24114722	ENSG00000057757
MTA3	2	42721709	42984087	ENSG00000057935
CROCC	1	17066768	17299474	ENSG00000058453
